yas,gelir,kredi_skoru,borc_miktari,kredi_onayi
21,2067,634,46469,Hayır
19,11863,646,8563,Hayır
23,4012,330,29144,Hayır
59,2290,327,24053,Hayır
21,8312,728,21433,Hayır
46,5679,464,25715,Hayır
35,6651,726,12351,Hayır
43,2352,628,14610,Hayır
61,19647,372,12860,Hayır
51,6378,615,43955,Hayır
27,19989,398,19273,Hayır
53,5398,335,19534,Hayır
31,5006,492,41652,Hayır
48,3004,333,4769,Hayır
65,16812,393,30455,Hayır
32,7967,626,33267,Hayır
25,8428,695,14615,Hayır
31,4078,397,44164,Hayır
40,4261,804,3480,Hayır
57,3737,703,15861,Hayır
38,5096,777,38620,Hayır
33,9927,587,39647,Hayır
62,4444,450,2109,Hayır
35,18720,387,21361,Hayır
64,11159,301,6141,Hayır
41,10863,361,19281,Hayır
43,15056,356,25031,Hayır
42,12862,506,36798,Hayır
62,12798,601,1427,Hayır
58,10187,372,36617,Hayır
46,4970,356,48488,Hayır
32,5269,562,46363,Hayır
62,18862,735,6099,Hayır
18,19227,329,8476,Hayır
42,3625,449,9716,Hayır
24,5480,304,35321,Hayır
26,10542,623,36141,Hayır
41,17860,808,7853,Hayır
18,5042,659,24105,Hayır
61,8564,431,1375,Hayır
25,12233,826,29937,Hayır
41,19585,679,28218,Hayır
28,13170,699,45584,Hayır
68,16073,533,5572,Hayır
34,12567,757,46563,Hayır
25,2010,588,165,Evet
52,17611,529,36741,Hayır
52,18007,535,18407,Hayır
50,11781,555,20371,Hayır
22,19885,580,30064,Hayır
59,9905,592,7298,Hayır
56,5603,317,22076,Hayır
58,2289,580,1629,Hayır
45,7688,675,10265,Hayır
24,9393,698,11490,Hayır
26,11868,846,21948,Hayır
25,15436,424,8704,Hayır
29,9605,555,30686,Hayır
51,13827,311,49053,Hayır
50,14985,449,29842,Hayır
65,14014,719,45690,Hayır
40,10374,717,8505,Hayır
41,18734,774,35515,Hayır
54,7584,722,2905,Hayır
52,14965,733,20532,Hayır
61,8404,360,38822,Hayır
57,14159,460,42463,Hayır
39,15499,690,41371,Hayır
44,16110,446,386,Hayır
52,16939,432,46354,Hayır
18,7825,521,10007,Hayır
52,5488,703,25271,Hayır
54,3895,397,41306,Hayır
64,4908,434,47957,Hayır
31,3411,758,8656,Hayır
20,7457,621,14541,Hayır
18,13574,390,26846,Hayır
22,12135,638,12210,Hayır
43,7448,333,44859,Hayır
31,10847,566,42193,Hayır
56,10541,497,35526,Hayır
44,16658,706,3738,Evet
26,19527,793,49700,Hayır
32,18781,821,22736,Hayır
32,2645,780,36336,Hayır
43,14700,502,42284,Hayır
59,12964,743,23810,Hayır
30,3962,311,24769,Hayır
68,19193,420,35842,Hayır
49,8473,816,22740,Hayır
56,9483,627,23546,Hayır
66,6415,535,548,Hayır
69,17848,848,33034,Hayır
49,10705,327,9856,Hayır
21,12704,599,38034,Hayır
47,18391,470,28500,Hayır
54,14451,496,5171,Hayır
40,15068,575,41243,Hayır
56,12320,654,593,Evet
62,15208,433,40905,Hayır
32,3844,624,21796,Hayır
60,17257,519,18578,Hayır
46,9559,427,16116,Hayır
53,11294,698,26957,Hayır
30,2679,750,29440,Hayır
49,9190,799,26202,Hayır
24,7347,306,34699,Hayır
68,14725,556,41444,Hayır
39,13561,627,48170,Hayır
45,15571,518,42968,Hayır
19,13015,607,27974,Hayır
59,2009,594,28778,Hayır
62,17987,470,18939,Hayır
23,14445,737,36079,Hayır
45,17203,416,347,Hayır
45,13023,314,519,Hayır
61,7321,678,45270,Hayır
61,12378,578,46347,Hayır
37,18079,510,11711,Hayır
47,9506,635,3160,Hayır
28,12219,503,45896,Hayır
45,3456,478,44013,Hayır
42,2043,669,39583,Hayır
56,9326,547,30096,Hayır
50,12086,345,23921,Hayır
18,9776,545,6245,Hayır
44,16892,393,48935,Hayır
69,10200,699,9131,Hayır
30,7632,669,31089,Hayır
58,15700,359,12197,Hayır
20,3862,715,43863,Hayır
56,19617,468,1840,Hayır
23,6711,743,9190,Hayır
25,4457,704,19159,Hayır
44,13196,553,28439,Hayır
26,14839,751,41422,Hayır
54,8699,818,27014,Hayır
50,15167,625,9015,Hayır
68,10459,575,32695,Hayır
59,9157,471,22035,Hayır
61,14053,599,7675,Hayır
41,4714,439,41379,Hayır
32,9364,358,2510,Hayır
49,17256,761,16044,Hayır
49,13998,533,36502,Hayır
41,11583,543,42449,Hayır
58,11274,595,21768,Hayır
69,14271,832,27561,Hayır
66,4835,809,36053,Hayır
66,10013,551,42017,Hayır
69,15239,748,35642,Hayır
29,6205,765,31040,Hayır
56,15853,522,35189,Hayır
19,4154,387,7914,Hayır
20,12536,439,5970,Hayır
66,5923,607,45787,Hayır
54,12046,825,18587,Hayır
66,9262,777,3594,Hayır
34,5868,467,10255,Hayır
66,5790,445,39446,Hayır
19,13224,614,22690,Hayır
19,3273,396,32245,Hayır
45,13159,739,5834,Hayır
40,14434,664,25623,Hayır
54,15328,670,42658,Hayır
49,16703,745,23540,Hayır
50,11404,709,31764,Hayır
18,9811,562,40525,Hayır
36,12487,730,3226,Evet
19,12389,808,14252,Hayır
61,4264,726,48896,Hayır
43,17365,669,6188,Hayır
49,17196,479,14513,Hayır
23,19994,414,41848,Hayır
49,11610,831,37285,Hayır
21,15869,420,4474,Hayır
28,12069,335,26609,Hayır
34,13099,302,41994,Hayır
55,18186,346,43769,Hayır
41,10571,439,42869,Hayır
22,13492,524,15598,Hayır
69,19077,330,21322,Hayır
51,16480,548,12228,Hayır
23,12582,496,12932,Hayır
39,9033,410,37133,Hayır
28,2847,615,39671,Hayır
65,13163,376,12960,Hayır
33,19579,831,36659,Hayır
50,11704,822,23959,Hayır
26,14094,661,30468,Hayır
23,8332,516,20009,Hayır
33,7648,706,15661,Hayır
46,5450,745,3998,Hayır
20,10418,352,22322,Hayır
37,17950,650,28322,Hayır
53,3807,602,26256,Hayır
36,14500,829,16444,Hayır
43,17705,622,19019,Hayır
20,2418,408,12011,Hayır
36,18122,552,28067,Hayır
37,5155,394,36774,Hayır
49,11110,743,25926,Hayır
24,14463,486,31245,Hayır
69,4631,643,1774,Hayır
58,6630,488,14420,Hayır
50,8868,423,28722,Hayır
57,7513,459,13886,Hayır
56,3829,761,18389,Hayır
35,11855,577,20761,Hayır
57,17930,595,7156,Hayır
18,14611,633,17274,Hayır
28,5812,656,11134,Hayır
45,19270,547,46156,Hayır
42,13531,607,49867,Hayır
67,15236,761,49508,Hayır
40,6147,455,30803,Hayır
48,4759,727,26381,Hayır
47,12970,603,30888,Hayır
59,4876,321,45836,Hayır
52,14712,528,15689,Hayır
24,15332,583,42375,Hayır
33,11903,366,19700,Hayır
43,18439,793,5598,Evet
65,5362,849,45548,Hayır
69,13051,305,43840,Hayır
66,11198,847,27426,Hayır
19,7003,767,33399,Hayır
18,17732,606,41471,Hayır
65,9905,376,13776,Hayır
29,3781,344,7224,Hayır
22,15412,670,853,Evet
54,19373,756,16030,Hayır
49,13356,409,38256,Hayır
26,2377,647,6044,Hayır
58,8045,690,22330,Hayır
52,15610,510,49419,Hayır
36,18665,650,4740,Evet
65,14926,526,19153,Hayır
33,17034,648,49913,Hayır
20,14356,346,12697,Hayır
37,8984,791,33222,Hayır
41,5594,716,24850,Hayır
50,16358,833,29006,Hayır
41,14624,403,36612,Hayır
69,8570,824,33736,Hayır
28,4120,787,8916,Hayır
66,13985,787,16116,Hayır
25,4870,611,24552,Hayır
53,2785,376,3822,Hayır
55,2937,311,36961,Hayır
57,11881,304,1,Hayır
37,11448,738,16460,Hayır
52,5112,798,22157,Hayır
65,18297,552,26945,Hayır
42,9437,826,8032,Hayır
52,6534,593,35582,Hayır
42,11529,524,36531,Hayır
46,8171,397,35601,Hayır
35,10461,354,10,Hayır
63,19874,602,4366,Hayır
35,8041,569,40356,Hayır
19,8389,789,22768,Hayır
52,8641,462,44214,Hayır
33,11633,458,41016,Hayır
58,18743,717,2403,Evet
53,6677,562,43388,Hayır
50,7139,682,38428,Hayır
21,13157,514,38998,Hayır
50,14832,825,26478,Hayır
31,17109,416,2601,Hayır
38,15255,691,13186,Hayır
65,5692,723,12949,Hayır
37,10205,831,43194,Hayır
25,7425,380,20040,Hayır
24,5900,486,8751,Hayır
20,13811,433,48044,Hayır
34,10462,466,31398,Hayır
50,7613,436,33603,Hayır
65,18906,461,46431,Hayır
29,4817,514,30238,Hayır
68,6950,614,48141,Hayır
39,4839,416,13065,Hayır
39,16333,824,4574,Evet
63,9491,617,2154,Hayır
47,10014,370,32353,Hayır
55,9691,540,19468,Hayır
55,2442,662,38334,Hayır
62,18020,321,45041,Hayır
68,11413,337,25837,Hayır
25,17809,537,4547,Hayır
44,13641,842,45373,Hayır
44,12632,350,4757,Hayır
51,16379,686,18093,Hayır
38,14695,319,38865,Hayır
47,2894,434,45694,Hayır
50,14094,700,44162,Hayır
45,4253,773,18868,Hayır
64,4010,797,31971,Hayır
50,15674,416,31061,Hayır
22,8997,824,20789,Hayır
65,12752,787,27816,Hayır
36,13038,816,48716,Hayır
21,11237,364,12000,Hayır
52,6833,464,3096,Hayır
66,17034,647,10095,Hayır
34,4934,558,7674,Hayır
61,14571,544,23379,Hayır
45,2371,521,12237,Hayır
47,17386,316,38667,Hayır
46,8998,627,13831,Hayır
63,16464,730,36917,Hayır
23,19787,804,10643,Hayır
52,18257,682,2875,Evet
58,15406,811,41539,Hayır
54,12712,631,47203,Hayır
41,19391,523,33907,Hayır
46,2667,438,2361,Hayır
66,18325,572,39707,Hayır
63,3446,424,35281,Hayır
48,17890,578,23540,Hayır
52,6368,332,26549,Hayır
50,7317,513,9193,Hayır
69,5029,600,2560,Hayır
38,10232,377,24898,Hayır
49,15025,604,31998,Hayır
40,19161,405,28995,Hayır
50,11027,831,12211,Hayır
20,6489,410,30476,Hayır
35,15115,480,1208,Hayır
42,8270,664,43567,Hayır
59,16231,464,20837,Hayır
48,11028,783,43794,Hayır
20,10716,604,26601,Hayır
57,11443,751,11080,Hayır
63,9688,329,34525,Hayır
41,6241,384,46625,Hayır
67,10926,469,44862,Hayır
49,16211,650,21988,Hayır
64,18552,827,43304,Hayır
39,15849,370,11215,Hayır
40,11340,542,47144,Hayır
19,10491,416,35129,Hayır
44,13513,408,38317,Hayır
59,7033,799,1138,Evet
19,2521,588,519,Hayır
43,15256,328,43937,Hayır
34,13776,413,42431,Hayır
57,14793,646,16651,Hayır
50,10844,493,28332,Hayır
26,5301,819,17617,Hayır
60,11814,412,42147,Hayır
65,3681,730,14879,Hayır
56,15116,639,37433,Hayır
46,2091,339,18845,Hayır
59,5706,304,31643,Hayır
43,18147,739,37641,Hayır
52,2960,787,27266,Hayır
67,2843,612,12436,Hayır
42,18602,665,43294,Hayır
41,10895,556,33634,Hayır
30,2246,487,35906,Hayır
24,15251,372,34259,Hayır
53,14229,530,5692,Hayır
62,7109,333,45220,Hayır
37,14151,371,41346,Hayır
18,15397,783,47712,Hayır
25,8325,655,8926,Hayır
63,12050,530,43979,Hayır
33,3912,780,22206,Hayır
31,6221,790,5636,Hayır
29,9374,687,30533,Hayır
68,2266,476,43174,Hayır
40,16689,310,23469,Hayır
32,15910,517,43089,Hayır
45,19915,432,46356,Hayır
51,12198,457,30495,Hayır
19,6564,771,1002,Evet
49,6228,443,46383,Hayır
40,9155,509,2608,Hayır
39,17184,631,45138,Hayır
68,2317,389,6998,Hayır
42,2710,311,10451,Hayır
39,13388,325,26909,Hayır
39,10642,623,32176,Hayır
66,3323,550,12634,Hayır
69,13752,541,16858,Hayır
59,6237,838,19584,Hayır
23,5051,384,6508,Hayır
32,12543,475,37766,Hayır
60,7675,592,14352,Hayır
54,8787,344,38697,Hayır
50,4640,689,35742,Hayır
25,14317,761,33764,Hayır
61,13640,689,19084,Hayır
61,9376,456,9866,Hayır
22,10138,460,45723,Hayır
56,7362,828,5895,Hayır
21,2694,522,37774,Hayır
23,12385,423,43345,Hayır
62,17201,449,20803,Hayır
49,3768,729,30030,Hayır
69,14616,846,40895,Hayır
47,2171,826,11453,Hayır
64,4749,687,35060,Hayır
52,5102,568,14743,Hayır
57,19004,840,30018,Hayır
69,16607,605,44458,Hayır
33,7214,315,44742,Hayır
30,2076,812,3073,Hayır
67,6237,333,1023,Hayır
59,8027,653,43680,Hayır
47,15241,763,9937,Hayır
36,12367,403,9442,Hayır
34,17031,588,23483,Hayır
36,4544,442,29606,Hayır
45,18371,636,21710,Hayır
43,4857,675,37248,Hayır
54,3553,503,12377,Hayır
43,8274,357,25120,Hayır
40,14556,338,25384,Hayır
26,11153,812,6532,Hayır
29,3627,632,12504,Hayır
18,13523,643,18519,Hayır
18,3074,387,45791,Hayır
64,15990,632,23624,Hayır
51,19412,655,3898,Evet
49,19031,763,43608,Hayır
65,15025,685,14425,Hayır
42,16837,664,11112,Hayır
57,7303,546,21179,Hayır
62,16744,797,42411,Hayır
18,15747,362,6464,Hayır
33,15107,539,20593,Hayır
56,19286,380,6093,Hayır
22,11695,366,24435,Hayır
39,7076,638,14747,Hayır
46,13054,397,5978,Hayır
20,4897,806,31219,Hayır
29,11537,793,26998,Hayır
43,10681,770,1915,Evet
33,9851,566,23656,Hayır
68,16585,666,9608,Hayır
54,9228,585,48287,Hayır
39,16270,783,49313,Hayır
46,17355,571,3011,Evet
31,7595,459,4369,Hayır
45,17797,529,40999,Hayır
22,12923,797,32057,Hayır
64,11599,505,655,Hayır
66,8462,498,31045,Hayır
47,15307,621,38068,Hayır
63,8368,659,36829,Hayır
69,11406,694,22602,Hayır
22,5942,796,37990,Hayır
29,3800,757,5506,Hayır
33,16414,786,28991,Hayır
43,12261,436,27820,Hayır
43,4377,452,41342,Hayır
65,9323,816,49719,Hayır
38,18226,609,49729,Hayır
56,3271,750,35334,Hayır
53,7020,751,30827,Hayır
50,14548,567,7725,Hayır
47,2434,517,4668,Hayır
54,5771,501,14727,Hayır
40,16873,659,23518,Hayır
27,10726,412,18681,Hayır
22,10572,593,39744,Hayır
53,6124,464,17279,Hayır
51,14117,807,27237,Hayır
69,7602,452,35900,Hayır
48,17421,727,41476,Hayır
27,7167,359,22703,Hayır
36,7486,366,49930,Hayır
49,18930,580,1290,Evet
18,11943,307,40548,Hayır
22,6824,580,2521,Hayır
62,5115,719,25349,Hayır
21,2218,841,9503,Hayır
33,2125,634,3508,Hayır
41,15169,487,12009,Hayır
33,18325,752,14904,Hayır
19,15690,341,41500,Hayır
66,14606,477,48338,Hayır
45,11415,303,32183,Hayır
49,6180,609,24015,Hayır
44,7160,379,4971,Hayır
37,11766,360,4823,Hayır
41,3942,472,16220,Hayır
29,13532,677,23911,Hayır
67,12606,686,15167,Hayır
52,3254,732,13842,Hayır
50,2987,814,35946,Hayır
50,16923,302,18371,Hayır
68,10111,776,20702,Hayır
60,16824,382,34368,Hayır
54,14093,358,10320,Hayır
29,15740,334,24129,Hayır
20,15118,608,24031,Hayır
18,13911,699,36966,Hayır
50,17001,675,23751,Hayır
57,11509,478,19704,Hayır
27,3371,453,32310,Hayır
60,15163,668,37297,Hayır
61,2360,367,33199,Hayır
46,10104,668,3945,Hayır
30,16186,717,27960,Hayır
29,10549,542,5230,Hayır
48,4783,576,24505,Hayır
63,2063,742,1704,Hayır
19,5849,388,47778,Hayır
68,5938,558,44060,Hayır
67,19899,536,44226,Hayır
52,10771,611,15169,Hayır
40,14609,489,48626,Hayır
34,15483,701,44383,Hayır
43,12523,523,21480,Hayır
25,4158,314,15892,Hayır
46,13961,493,22140,Hayır
43,8396,329,36532,Hayır
27,4283,759,27468,Hayır
43,8236,466,22549,Hayır
51,9809,534,46773,Hayır
68,13958,545,48951,Hayır
58,5105,618,15646,Hayır
24,5552,306,18069,Hayır
21,3838,385,43835,Hayır
67,19279,627,38180,Hayır
62,7913,514,24081,Hayır
28,17872,834,9247,Hayır
46,4890,561,36843,Hayır
53,16587,825,8100,Hayır
42,12235,583,12677,Hayır
38,17723,560,32004,Hayır
53,16646,355,30226,Hayır
27,19792,809,18939,Hayır
54,9446,710,22022,Hayır
26,13829,743,35845,Hayır
41,5458,431,48964,Hayır
52,6397,840,36974,Hayır
66,16582,562,46832,Hayır
52,16823,715,45950,Hayır
65,10088,619,6205,Hayır
53,9406,667,25824,Hayır
35,9071,655,36760,Hayır
66,15078,776,15593,Hayır
56,18104,339,11968,Hayır
49,7007,622,16404,Hayır
41,11567,654,32782,Hayır
40,11725,614,8841,Hayır
49,12144,746,39661,Hayır
54,13449,462,21008,Hayır
29,13183,613,3416,Evet
66,14349,437,26624,Hayır
30,11357,540,6685,Hayır
40,6561,598,3282,Hayır
42,9614,532,1280,Evet
52,4358,515,33264,Hayır
58,13430,658,38583,Hayır
47,18041,428,14981,Hayır
34,15103,473,24254,Hayır
66,12267,426,36662,Hayır
37,13859,729,3039,Evet
65,14795,745,41906,Hayır
42,12373,582,34915,Hayır
39,9257,343,44268,Hayır
30,12150,473,3361,Hayır
36,10376,439,42116,Hayır
66,11872,526,8361,Hayır
53,16503,660,30406,Hayır
29,18961,571,6143,Hayır
58,14146,704,7373,Hayır
36,14469,416,8159,Hayır
29,10262,491,34010,Hayır
26,2555,422,45526,Hayır
24,19235,568,21707,Hayır
45,11410,733,26091,Hayır
31,5640,427,43613,Hayır
48,15368,819,17495,Hayır
69,3912,739,4998,Hayır
36,7419,483,10435,Hayır
64,17442,435,40391,Hayır
33,16429,763,35354,Hayır
22,18650,514,28056,Hayır
52,5916,653,29858,Hayır
29,15687,451,1057,Hayır
42,16837,320,38463,Hayır
69,17471,808,43705,Hayır
38,14865,605,10883,Hayır
53,13885,734,29303,Hayır
40,14919,303,2089,Hayır
33,4326,372,28378,Hayır
56,4801,404,13301,Hayır
62,18019,640,45122,Hayır
59,15533,431,22420,Hayır
56,13022,619,2980,Hayır
31,17297,324,46335,Hayır
48,19368,723,44166,Hayır
22,8463,818,34908,Hayır
52,15632,816,11500,Hayır
40,19459,576,29804,Hayır
46,19407,731,45268,Hayır
60,15453,390,46892,Hayır
28,15066,360,27812,Hayır
35,10471,634,42067,Hayır
64,19495,504,14789,Hayır
29,2271,773,38558,Hayır
26,14171,355,29484,Hayır
27,18573,492,3866,Hayır
61,12533,325,1506,Hayır
34,14158,573,7708,Hayır
55,10142,627,46934,Hayır
24,18149,314,21724,Hayır
63,6943,577,49517,Hayır
30,19152,815,39740,Hayır
57,13967,320,20257,Hayır
59,7166,345,13329,Hayır
26,9589,388,23963,Hayır
67,6798,807,16669,Hayır
44,17218,572,47708,Hayır
19,2464,395,48277,Hayır
22,4600,365,14312,Hayır
46,2916,792,49534,Hayır
54,11644,517,21634,Hayır
55,8126,732,11236,Hayır
36,9151,590,26618,Hayır
25,13660,359,43800,Hayır
65,2065,561,27812,Hayır
62,14888,724,34452,Hayır
18,11691,500,19933,Hayır
39,15999,837,15039,Hayır
69,9193,532,32045,Hayır
34,13001,461,3935,Hayır
24,11078,521,18350,Hayır
42,17752,559,40663,Hayır
62,2043,658,28079,Hayır
21,5842,525,2212,Hayır
53,6705,564,37850,Hayır
23,15640,368,47010,Hayır
48,18012,308,48655,Hayır
36,7883,580,42307,Hayır
61,19074,494,24221,Hayır
56,18169,606,26385,Hayır
44,8842,445,41093,Hayır
27,10301,793,10413,Hayır
43,6558,742,9000,Hayır
36,10828,486,47023,Hayır
56,7312,608,5518,Hayır
20,2626,781,15878,Hayır
62,2069,707,40806,Hayır
30,16432,541,39204,Hayır
67,12042,632,27673,Hayır
45,13070,703,39398,Hayır
37,13544,670,43245,Hayır
45,10059,353,9369,Hayır
25,8784,544,20529,Hayır
58,16093,499,21110,Hayır
56,13668,734,38429,Hayır
18,4543,672,14422,Hayır
20,18118,684,22255,Hayır
30,9353,520,38957,Hayır
45,15349,547,38466,Hayır
66,2768,370,38139,Hayır
42,16163,782,26642,Hayır
50,17095,624,39097,Hayır
55,4603,304,19942,Hayır
23,2991,794,3724,Hayır
61,12220,539,39964,Hayır
62,18872,490,39860,Hayır
49,10179,305,26000,Hayır
62,6152,618,33310,Hayır
64,18895,796,27315,Hayır
38,2734,714,27816,Hayır
33,7678,313,29147,Hayır
38,5309,507,10040,Hayır
28,16728,301,34909,Hayır
54,6701,701,26076,Hayır
53,15060,829,36854,Hayır
52,12022,334,39733,Hayır
36,9719,381,37068,Hayır
37,16115,782,49079,Hayır
35,2916,690,2842,Hayır
64,8681,785,44350,Hayır
58,13367,759,48153,Hayır
66,12826,827,11995,Hayır
31,6692,703,566,Evet
32,17855,432,25929,Hayır
48,3335,616,48338,Hayır
18,19145,534,36047,Hayır
20,12892,427,31145,Hayır
33,12145,362,37088,Hayır
40,17203,727,39449,Hayır
28,2301,643,28308,Hayır
29,9740,424,2072,Hayır
27,16903,379,45498,Hayır
49,16427,466,23206,Hayır
33,4701,679,45993,Hayır
25,11667,314,19093,Hayır
55,7644,404,45754,Hayır
29,7520,825,15312,Hayır
41,2668,518,29608,Hayır
45,4128,693,16603,Hayır
25,17459,656,20611,Hayır
45,8738,599,45722,Hayır
53,18601,463,9645,Hayır
43,10940,742,4161,Evet
25,6220,664,5098,Hayır
67,7139,364,10979,Hayır
45,2721,815,26277,Hayır
45,11143,423,48611,Hayır
54,3881,509,33156,Hayır
58,19816,376,48539,Hayır
53,8950,832,28936,Hayır
44,11968,596,45436,Hayır
34,17098,309,48724,Hayır
26,10890,416,23737,Hayır
50,2621,782,26871,Hayır
37,18843,496,42827,Hayır
30,17698,486,39732,Hayır
45,7375,529,8498,Hayır
65,7925,579,35758,Hayır
46,8431,531,47502,Hayır
30,2988,415,13915,Hayır
63,18915,726,38474,Hayır
52,4917,399,44698,Hayır
23,8885,843,35896,Hayır
35,5619,732,3184,Hayır
68,12410,383,27768,Hayır
22,15574,594,49712,Hayır
64,8564,794,39799,Hayır
42,5060,478,16140,Hayır
19,16826,594,21187,Hayır
27,17231,615,37167,Hayır
47,4524,837,48571,Hayır
67,14607,350,2637,Hayır
62,19073,623,43330,Hayır
22,14944,453,16509,Hayır
50,15115,831,25547,Hayır
18,3100,504,9624,Hayır
35,10310,370,12539,Hayır
49,12960,451,18778,Hayır
64,7301,494,36339,Hayır
66,16972,801,42146,Hayır
28,11233,315,46715,Hayır
38,13327,522,14470,Hayır
43,2496,505,36563,Hayır
42,6174,804,11370,Hayır
39,7530,671,44745,Hayır
44,17098,674,2698,Evet
66,13324,414,26299,Hayır
30,3653,685,42118,Hayır
50,9246,596,22223,Hayır
51,16060,490,23490,Hayır
58,15799,617,5656,Hayır
52,18627,383,19059,Hayır
18,8999,429,3668,Hayır
38,15398,673,49923,Hayır
65,8743,504,10743,Hayır
23,4692,558,23602,Hayır
45,8073,642,20778,Hayır
34,10230,627,13356,Hayır
22,5247,332,3114,Hayır
48,19999,547,38065,Hayır
22,2019,566,18013,Hayır
55,18604,788,33891,Hayır
20,16160,649,45499,Hayır
40,16610,664,22174,Hayır
54,9321,373,44319,Hayır
54,8606,558,8228,Hayır
27,9576,847,1763,Evet
27,17837,512,12785,Hayır
36,9828,797,41315,Hayır
34,14706,754,4474,Evet
38,18890,324,2213,Hayır
31,6741,745,16383,Hayır
26,17562,717,19354,Hayır
63,6587,452,6578,Hayır
18,11361,756,11773,Hayır
68,7357,819,45246,Hayır
62,19123,352,18311,Hayır
30,11982,782,13153,Hayır
21,10615,535,35150,Hayır
18,5055,775,31668,Hayır
66,12175,821,49116,Hayır
57,14530,648,49158,Hayır
49,17787,428,36547,Hayır
51,3789,761,1256,Hayır
45,17307,785,31714,Hayır
48,2584,783,22063,Hayır
25,8178,532,41046,Hayır
56,19726,371,32625,Hayır
43,6190,593,30110,Hayır
51,16555,469,30511,Hayır
20,11400,551,25241,Hayır
67,17396,643,3370,Hayır
29,13014,306,49201,Hayır
18,13885,319,28854,Hayır
61,15280,837,40084,Hayır
22,16469,388,18060,Hayır
47,17804,799,24885,Hayır
47,6756,639,18482,Hayır
34,8025,355,45828,Hayır
65,9455,754,5578,Hayır
64,12497,527,18285,Hayır
40,3062,361,11571,Hayır
32,12039,540,28928,Hayır
54,11574,683,7433,Hayır
38,16713,745,20433,Hayır
31,8066,793,16589,Hayır
19,7684,701,43175,Hayır
28,12914,755,23913,Hayır
68,8838,838,49349,Hayır
56,3987,650,14329,Hayır
55,6067,729,41848,Hayır
51,6104,596,43113,Hayır
55,14315,384,1686,Hayır
67,17158,686,32666,Hayır
51,10877,613,6209,Hayır
35,14869,645,19288,Hayır
47,14058,810,19740,Hayır
32,13017,777,34561,Hayır
44,5734,419,10060,Hayır
68,19625,724,11064,Hayır
51,5500,502,25971,Hayır
69,14330,529,33544,Hayır
55,7730,588,47224,Hayır
50,5261,337,45729,Hayır
41,14329,445,21473,Hayır
32,6825,737,20401,Hayır
47,3981,348,48360,Hayır
59,19031,616,22176,Hayır
68,17876,827,40609,Hayır
34,3982,513,16982,Hayır
22,7255,842,28272,Hayır
46,12749,394,28186,Hayır
21,4019,799,26165,Hayır
27,6674,773,25509,Hayır
34,10071,437,33846,Hayır
27,8980,356,17088,Hayır
34,12756,465,15959,Hayır
37,11212,504,22839,Hayır
41,17214,441,686,Hayır
22,12214,353,18385,Hayır
51,5675,453,32717,Hayır
23,3779,525,17464,Hayır
19,6537,584,14498,Hayır
30,19257,361,46139,Hayır
60,13842,691,1797,Evet
60,14982,701,46943,Hayır
65,13108,666,38083,Hayır
28,11219,460,9516,Hayır
68,5881,347,47682,Hayır
64,11701,685,23490,Hayır
40,11434,548,42021,Hayır
33,13109,325,45870,Hayır
48,7649,444,38337,Hayır
28,13973,559,10250,Hayır
33,9317,308,41533,Hayır
25,19417,799,34568,Hayır
21,13031,565,27268,Hayır
57,18595,540,49959,Hayır
21,15963,624,42808,Hayır
42,7508,476,47392,Hayır
20,7017,769,27557,Hayır
